"Relative Time","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:40","","","2.498"
"00:56","","","2.476"
"01:12","","","2.619"
"02:48","3.984","",""
"02:56","3.924","",""
"03:12","3.805","",""
"04:48","4.225","",""
"04:56","3.933","",""
"05:04","","1.176",""
